Motor1, electric_motor
Motor2, electric_motor2
Footsteps, footsteps
Ambience1, 193822__jhumbucker__deep-sea-ambience
Ambience2, underwater_ambience
Ambience3, underwater_ambience2
Soundscape1, soundscape
SlowBreathing1, slow_breathing
SlowBreathing2, 324562__univ-lyon3__saly-margaux-2015-2016-underwater-breathing
WaterMotion, 262754__klankbeeld__water-sand-moving-003-140811-0365
WaveSounds, 267245__klankbeeld__wave-hydrophone-001
MetalHit1, close_metal_hit
MetalHit2, distant_metal_hit
MetalPush, 352745__rosebugg__fence
MetalCrash, metal_crashing
MetalDoorClose, metal_door_close
MetalDoorOpen, metal_door_open
ImpactE, underwater_impact
Impact, unmodified_impact
SinkingCrash, 232021__ubehag__stereotypical-sinking-submarine-sound-no-reverb
HullCreak, 412766__ohnobones__underwater-hullcreaking
Flare, flare
BurningFlare, burning_flare
FlareAmmoBoxPickup, 399122__fastson__magazinerelease-01
EmptyFlareGunClick, 170272__knova__gun-click
Monster1, monster_1
Monster1e, monster_1_e
Monster2, monster_2
Monster2e, monster_2_e
Monster3, monster_3
Monster3e, monster_3_e
Monster4, monster_4
Monster4e, monster_4_e
Monster5, monster_5
Monster5e, monster_5_e
Monster6, monster_6
Monster6e, monster_6_e
Monster7, monster_7
Monster7e, monster_7_e
Monster8, monster_8
Monster8e, monster_8_e
Monster9, monster_9
Monster9e, monster_9_e
Monster10, monster_10
Monster10e, monster_10_e
SeaMonster1, 151852__carroll27__deep-sea-creature-noise-ambient-sound-of-the-deep
SeaMonster2, 395476__chilljeremy__sea-monster
Groan, 260637__rcarpo__deep-sea-groan
